country,city,reportRating,reportByMunicipalityUser,confidence,reliability,type,uuid,roadType,magvar,subtype,street,pubMillis,location_x,location_y,reportDescription,data_evento
BR,Itaguaí,2,false,2,9,HAZARD,4944c6c2-075f-4359-8a46-7030a67de9de,1,213,HAZARD_ON_ROAD_POT_HOLE,R. Maria Cândida,2025-05-12 16:07:14-03:00,-43.767306,-22.877004,,2025-05-12
BR,Duque de Caxias,3,false,5,10,HAZARD,bc88753a-a167-40ca-9637-317ba2e0ae7a,1,39,HAZARD_ON_ROAD_POT_HOLE,R. Amazonas,2025-05-12 12:24:26-03:00,-43.299906,-22.785277,,2025-05-12
BR,Rio de Janeiro,4,false,5,10,HAZARD,8744b88a-4fca-4f76-877f-3692232f16a3,2,262,HAZARD_ON_ROAD_POT_HOLE,R. 24 de Maio,2025-05-12 17:46:11-03:00,-43.265438,-22.902393,,2025-05-12
BR,Rio de Janeiro,3,false,1,8,HAZARD,13b09928-89e6-4e51-8f20-8cf329474ad5,1,78,HAZARD_ON_ROAD_POT_HOLE,R. Lagoa Bonita,2025-05-12 11:17:50-03:00,-43.485596,-22.975652,,2025-05-12
BR,Rio de Janeiro,1,false,5,10,HAZARD,782914de-290b-4fac-945c-23d91f789da0,2,224,HAZARD_ON_ROAD_POT_HOLE,Est. do Monteiro,2025-05-12 07:31:03-03:00,-43.564172,-22.922002,,2025-05-12
BR,Duque de Caxias,5,false,4,10,HAZARD,c4a5ec02-ebab-4edc-b505-a39148d61be3,1,133,HAZARD_ON_ROAD_POT_HOLE,R. Santos Dumont,2025-05-12 11:51:48-03:00,-43.287365,-22.773656,,2025-05-12
BR,Rio de Janeiro,2,false,0,5,HAZARD,bfa57dc5-3c46-488a-8b51-75521b88a052,1,182,HAZARD_ON_ROAD_POT_HOLE,R. Videira,2025-05-12 18:45:10-03:00,-43.579673,-22.897168,,2025-05-12
BR,Rio de Janeiro,3,false,0,7,HAZARD,8f9b762b-fe70-4d72-94de-a2636eef689b,2,6,HAZARD_ON_ROAD_POT_HOLE,Av. dos Italianos,2025-05-12 13:26:12-03:00,-43.349247,-22.84242,,2025-05-12
BR,Rio de Janeiro,3,false,0,6,HAZARD,2dc1a36b-5129-4877-b249-8463e61cb974,17,132,HAZARD_ON_ROAD_POT_HOLE,,2025-05-12 11:18:53-03:00,-43.482655,-22.975066,,2025-05-12
BR,Rio de Janeiro,3,false,1,8,HAZARD,20e1fabb-4659-4319-8075-b1f5f115d0cd,1,342,HAZARD_ON_ROAD_POT_HOLE,R. Jaguaribe,2025-05-12 12:44:38-03:00,-43.354021,-22.878356,,2025-05-12
BR,Itaguaí,2,false,0,5,HAZARD,5f5c9299-7037-4362-80a5-39c54b448aa2,1,32,HAZARD_ON_ROAD_POT_HOLE,R. México,2025-05-12 16:16:39-03:00,-43.76688,-22.879823,,2025-05-12
BR,Nova Iguaçu,2,false,1,8,HAZARD,70b8358f-5573-424e-8e1c-16b6ef06d0fd,1,175,HAZARD_ON_ROAD_POT_HOLE,Est. Granja,2025-05-12 09:44:11-03:00,-43.53231,-22.753449,,2025-05-12
BR,Itaguaí,2,false,2,10,HAZARD,25c198ee-6a38-4910-8a46-fc75289311b5,1,124,HAZARD_ON_ROAD_POT_HOLE,R. Argentina,2025-05-12 15:48:58-03:00,-43.765137,-22.87312,,2025-05-12
BR,Rio de Janeiro,3,false,2,9,HAZARD,6828ab50-f879-45fe-a179-874f994613d8,1,356,HAZARD_ON_ROAD_POT_HOLE,R. José Teles Valanzuela,2025-05-12 13:33:13-03:00,-43.570685,-22.875093,,2025-05-12
BR,Nova Iguaçu,2,false,2,10,HAZARD,d5552d4b-341a-4009-b072-558dc2ccec8c,7,40,HAZARD_ON_ROAD_POT_HOLE,Av. José Mariano Passos,2025-05-12 12:13:10-03:00,-43.414465,-22.7573,,2025-05-12
BR,Rio de Janeiro,2,false,5,10,HAZARD,e5a5f3da-f32b-4bef-96f0-87dcc70a232c,1,91,HAZARD_ON_ROAD_POT_HOLE,R. Andreza,2025-05-12 20:49:28-03:00,-43.578559,-22.885904,,2025-05-12
BR,Rio de Janeiro,2,false,5,10,HAZARD,47bdab43-19d1-4a55-8acb-190cd9696420,1,145,HAZARD_ON_ROAD_POT_HOLE,R. Alberto Soares Sampaio,2025-05-12 21:43:22-03:00,-43.378127,-22.921801,,2025-05-12
BR,Itaguaí,0,false,1,8,HAZARD,296148fb-cfa0-4875-b572-789441b631b1,1,125,HAZARD_ON_ROAD_POT_HOLE,R. Argentina,2025-05-12 13:20:25-03:00,-43.764654,-22.87343,,2025-05-12
BR,Rio de Janeiro,1,false,5,10,HAZARD,bbcbb298-18da-4cbc-8db9-431b801d516c,1,50,HAZARD_ON_ROAD_POT_HOLE,R. João de Medeiros,2025-05-12 17:01:38-03:00,-43.593249,-22.894652,,2025-05-12
BR,Rio de Janeiro,2,false,5,10,HAZARD,6f7ed638-5123-4e4a-8683-3ab2ef269132,2,10,HAZARD_ON_ROAD_POT_HOLE,Est. do Monteiro,2025-05-12 06:40:56-03:00,-43.573812,-22.929394,,2025-05-12
BR,Itaguaí,2,false,5,10,HAZARD,97cfed46-6f87-43cd-8ccd-bd05a53a420f,2,305,HAZARD_ON_ROAD_POT_HOLE,Av. Ayrton Senna da Silva,2025-05-12 17:12:44-03:00,-43.765278,-22.879185,,2025-05-12
BR,Duque de Caxias,1,false,0,8,HAZARD,48a0b6e0-9dce-4faf-aaa0-f2ebc759f3de,1,253,HAZARD_ON_ROAD_POT_HOLE,R. Risoleta Caetano,2025-05-12 21:43:02-03:00,-43.319403,-22.791734,,2025-05-12
BR,Rio de Janeiro,1,false,3,10,HAZARD,91030054-b7d0-48de-9f48-4212d9d5df97,1,194,HAZARD_ON_ROAD_POT_HOLE,R. Aurizona,2025-05-12 17:10:55-03:00,-43.56391,-22.874408,,2025-05-12
BR,Itaguaí,0,false,0,6,HAZARD,611541ff-0904-4374-a68f-4f4bf72c9d98,1,262,HAZARD_ON_ROAD_POT_HOLE,R. Leonildo Simões de Souza,2025-05-12 15:15:21-03:00,-43.795439,-22.867453,,2025-05-12
BR,Itaguaí,0,false,5,10,HAZARD,9015a455-ad57-4d41-b93e-c6f884ebcda5,1,205,HAZARD_ON_ROAD_POT_HOLE,Est. José Maia de Oliveira,2025-05-12 22:48:14-03:00,-43.760264,-22.828358,,2025-05-12
BR,Itaguaí,2,false,0,6,HAZARD,1cd6c33a-aac6-4807-9cd0-4ff4d2b7544d,1,211,HAZARD_ON_ROAD_POT_HOLE,R. Canadá Sul,2025-05-12 16:08:59-03:00,-43.765001,-22.881153,,2025-05-12
BR,São João de Meriti,4,false,5,10,HAZARD,14f62949-dc33-4fa9-869b-4e5e0f4e3538,2,245,HAZARD_ON_ROAD_POT_HOLE,R. Dr. Bernardino Teixeira,2025-05-12 11:17:26-03:00,-43.39613,-22.793395,,2025-05-12
BR,Rio de Janeiro,3,false,1,9,HAZARD,3f6d21d1-132e-4c35-b9b9-e52795e375a3,20,359,HAZARD_ON_ROAD_POT_HOLE,,2025-05-12 07:06:19-03:00,-43.209209,-22.915925,,2025-05-12
BR,Duque de Caxias,3,false,5,10,HAZARD,fef753ae-b419-4f34-bb8e-cfc4403bc418,1,307,HAZARD_ON_ROAD_POT_HOLE,R. Paraíba,2025-05-12 12:23:11-03:00,-43.300928,-22.786637,,2025-05-12
BR,Rio de Janeiro,3,false,3,10,HAZARD,ca3abcd5-a267-43c2-a813-1e4f30fa04a6,2,46,HAZARD_ON_ROAD_POT_HOLE,R. Artur Rios,2025-05-12 12:42:13-03:00,-43.541364,-22.899026,,2025-05-12
BR,Rio de Janeiro,2,false,3,10,HAZARD,1e6b7273-c3c5-4b92-bb80-a957f11c49a8,1,259,HAZARD_ON_ROAD_POT_HOLE,R. do Paraibano,2025-05-12 19:16:07-03:00,-43.539939,-22.856182,,2025-05-12
BR,Rio de Janeiro,4,false,0,5,HAZARD,f75a1f2d-b4ad-4a92-ab89-34566d0b5a84,1,296,HAZARD_ON_ROAD_POT_HOLE,Pç. Lúcia Miguel Pereira,2025-05-12 23:41:42-03:00,-43.485756,-22.884459,,2025-05-12
BR,Rio de Janeiro,0,false,0,5,HAZARD,4bd16fe6-36ef-4b33-a0cd-9b6e63213413,1,359,HAZARD_ON_ROAD_POT_HOLE,R. Sargento José Valoura,2025-05-12 17:36:24-03:00,-43.614097,-22.897609,,2025-05-12
BR,Rio de Janeiro,1,false,5,10,HAZARD,c801a10c-992b-4b15-8e62-8709eff1d91d,2,257,HAZARD_ON_ROAD_POT_HOLE,R. Barão de Mesquita,2025-05-12 16:18:03-03:00,-43.257265,-22.923468,,2025-05-12
BR,Itaguaí,2,false,0,6,HAZARD,9080029b-f0df-48d8-942c-ac4e5754e81f,1,212,HAZARD_ON_ROAD_POT_HOLE,R. México,2025-05-12 17:48:28-03:00,-43.766952,-22.879926,,2025-05-12
BR,Duque de Caxias,0,false,2,10,HAZARD,f3b32bca-e6f1-48a5-8c29-c81ffdd37e63,1,84,HAZARD_ON_ROAD_POT_HOLE,R. Francisco Portela,2025-05-12 18:54:40-03:00,-43.287697,-22.754529,,2025-05-12
BR,Rio de Janeiro,3,false,0,6,HAZARD,477cf850-1ecd-40bb-be78-70ada3e62c71,1,58,HAZARD_ON_ROAD_POT_HOLE,R. Carmelita de Jesus,2025-05-12 00:43:09-03:00,-43.576246,-22.875014,,2025-05-12
BR,Rio de Janeiro,5,false,0,6,ROAD_CLOSED,ad547e89-de8f-401a-a1a3-509405b3a3e9,2,31,ROAD_CLOSED_EVENT,,2025-05-12 17:00:08-03:00,-43.202721,-22.939158,,2025-05-12
BR,Nova Iguaçu,2,false,1,7,HAZARD,6753ae4d-e9d5-43c5-9e21-c4ff582b6ccf,1,105,HAZARD_ON_ROAD_POT_HOLE,Est. Granja,2025-05-12 09:42:54-03:00,-43.534674,-22.748773,,2025-05-12
BR,Rio de Janeiro,3,false,1,9,HAZARD,2c5b4243-466b-4833-888e-4dbdf8aa9660,1,254,HAZARD_ON_ROAD_POT_HOLE,R. Lagoa Bonita,2025-05-12 06:13:53-03:00,-43.484065,-22.975353,,2025-05-12
BR,Rio de Janeiro,1,false,5,10,HAZARD,655bf648-97a5-4d39-a13b-dd4d87b2f9b1,2,66,HAZARD_ON_ROAD_POT_HOLE,Av. Joaquim Magalhães,2025-05-12 08:35:35-03:00,-43.538098,-22.893042,,2025-05-12
BR,Rio de Janeiro,2,false,5,10,HAZARD,0d8f46f5-75d4-4325-bc11-ca24dec57b6a,1,70,HAZARD_ON_ROAD_POT_HOLE,Est. do Sacarrão,2025-05-12 18:38:50-03:00,-43.48936,-22.976187,,2025-05-12
BR,Rio de Janeiro,3,false,0,5,HAZARD,a398fca1-8711-42d2-a6c0-e4421382d0c7,1,95,HAZARD_ON_ROAD_POT_HOLE,R. Mário Mendes,2025-05-12 12:42:08-03:00,-43.541714,-22.899381,,2025-05-12
BR,Rio de Janeiro,2,false,3,10,HAZARD,55d3490e-bce3-4c36-aed6-8f2ff37631ad,2,160,HAZARD_ON_ROAD_POT_HOLE,Av. Gláucio Gil,2025-05-12 18:12:39-03:00,-43.458438,-23.02184,,2025-05-12
BR,Itaguaí,0,false,0,6,HAZARD,1254297f-5bba-4d96-be1e-836fe2625d71,1,206,HAZARD_ON_ROAD_POT_HOLE,Est. José Maia de Oliveira,2025-05-12 22:49:32-03:00,-43.763276,-22.834029,,2025-05-12
BR,Belford Roxo,1,false,0,5,HAZARD,affa397f-05e0-4d8b-bf4c-81bcfb63cd68,1,333,HAZARD_ON_ROAD_POT_HOLE,R. Nunes Sampaio,2025-05-12 18:27:56-03:00,-43.42328,-22.747925,,2025-05-12
BR,Rio de Janeiro,1,false,0,6,HAZARD,6d2f2ffd-e56f-47d6-8bfb-4199d5e52ed9,1,50,HAZARD_ON_ROAD_POT_HOLE,R. João de Medeiros,2025-05-12 17:01:56-03:00,-43.592624,-22.894171,,2025-05-12
BR,Nova Iguaçu,2,false,5,10,HAZARD,813a9401-6995-499b-91ec-6e4cc65ed171,2,295,HAZARD_ON_ROAD_POT_HOLE,R. Cel. Bernardino de Melo,2025-05-12 16:06:41-03:00,-43.440128,-22.765076,,2025-05-12
BR,Rio de Janeiro,2,false,0,6,HAZARD,909f71e1-76be-439a-86cf-343b556ffdf3,1,294,HAZARD_ON_ROAD_POT_HOLE,R. Carambu,2025-05-12 22:26:58-03:00,-43.589333,-22.886315,,2025-05-12
BR,Rio de Janeiro,5,false,0,6,ROAD_CLOSED,a07f37d8-b1c4-46c9-94b2-81fd4063bc0b,2,326,ROAD_CLOSED_EVENT,,2025-05-12 17:00:09-03:00,-43.20429,-22.959572,,2025-05-12
BR,Rio de Janeiro,0,false,0,5,HAZARD,4d01f3c8-5bbf-4d15-87be-7f710434a0f4,1,359,HAZARD_ON_ROAD_POT_HOLE,R. Aricuri,2025-05-12 21:00:31-03:00,-43.56431,-22.890879,,2025-05-12
BR,Rio de Janeiro,0,false,4,10,HAZARD,b2f8e0bb-590f-485e-a9ee-da0d4b7f9caa,2,345,HAZARD_ON_ROAD_POT_HOLE,R. Frei Caneca,2025-05-12 07:07:21-03:00,-43.19548,-22.913108,,2025-05-12
BR,Rio de Janeiro,3,false,3,10,HAZARD,58ffadc0-6570-48bf-b3de-d7f79f5ddc4f,2,176,HAZARD_ON_ROAD_POT_HOLE,Av. Francisco Bicalho,2025-05-12 17:09:01-03:00,-43.210179,-22.906036,,2025-05-12
BR,Rio de Janeiro,3,false,4,10,HAZARD,5fb3c9de-44d2-4813-84c5-ad67b0f4b6f2,2,256,HAZARD_ON_ROAD_POT_HOLE,Est. dos Bandeirantes,2025-05-12 09:55:26-03:00,-43.382384,-22.958242,,2025-05-12
